age,cap,goal,height,name,nation,salary
33,41,3,184,OmarHawsawiO.,saudi-arabia,855
29,5,0,178,AliAl,saudi-arabia,675
22,0,0,183,AbdulelahAl,saudi-arabia,45
26,38,0,171,YasirAl,saudi-arabia,180000
22,0,0,176,HamdanAl,saudi-arabia,495
26,12,1,170,MohammedAl,saudi-arabia,162000
26,16,1,177,AbdullahAteefA.,saudi-arabia,108000
22,5,0,178,AbdullahAl,saudi-arabia,158
30,18,1,173,HussainAl,saudi-arabia,171000
27,2,0,175,NoohAl,saudi-arabia,900
28,20,0,178,IbrahimGhalebI.,saudi-arabia,675
24,1,0,172,AbdulazizAli,saudi-arabia,675
26,8,0,170,HattanBahebriHattan,saudi-arabia,900
21,0,0,168,AymanAl,saudi-arabia,450
27,38,6,171,SalemAl,saudi-arabia,900
24,48,10,167,FahadAl,saudi-arabia,900
28,58,7,164,YahiaAl,saudi-arabia,720
25,0,0,174,MohammedAl,saudi-arabia,855
21,1,0,174,AbdulrahmanGharibAbdulrahman,saudi-arabia,450
27,25,0,194,MehdiKhalilM.,lebanon,90
34,2,0,180,AhmedTaktookA.,lebanon,23
23,0,0,180,MostafaMatarM.,lebanon,203
27,0,0,180,HassanChaitouH.,lebanon,203
30,16,2,187,JoanOumariJ.,lebanon,765
26,1,0,183,AlexanderMichelA.,lebanon,270
33,37,0,182,MootazJounaidiM.,lebanon,158
24,1,0,193,FelixMichelF.,lebanon,135
28,6,0,180,KassemEl,lebanon,23
34,55,1,172,WalidIsmaelW.,lebanon,270
30,26,1,180,MohamadZein,lebanon,68
32,45,3,178,AliHamamAli,lebanon,315
27,40,2,179,NourMansourN.,lebanon,45
28,7,1,176,SamirAyassS.,lebanon,180
28,50,0,180,HaythamFaourH.,lebanon,135
29,25,1,178,AdnanHaidarA.,lebanon,90
25,3,1,187,BasselJradiB.,lebanon,675
29,41,5,182,HassanChaitoH.,lebanon,135
31,65,17,172,HassanMaatoukH.,lebanon,135
26,18,0,175,NaderMatarN.,lebanon,45
29,48,4,176,MohamadHaidarM.,lebanon,270
29,18,4,174,RabihAtayaR.,lebanon,270
24,15,3,187,HilalEl,lebanon,180
32,97,0,188,MyongGuk,north-korea,315
26,1,0,181,HyokSinHyok,north-korea,40177
21,0,0,181,Juhyok,north-korea,40177
29,1,0,181,ChangHo,north-korea,90
24,5,0,178,CholBom,north-korea,40177
26,2,0,181,ThongIl,north-korea,40177
28,2,0,181,KyongHun,north-korea,40177
24,33,3,183,KukChol,north-korea,90
30,8,0,190,Seonggi,north-korea,40177
19,7,0,181,KukChol,north-korea,40177
22,3,0,181,Songil,north-korea,40177
28,25,1,181,HyonJin,north-korea,90
27,0,0,181,Kumchol,north-korea,40177
25,2,0,178,IlJin,north-korea,40177
28,18,1,187,Yongjik,north-korea,270
23,6,0,175,UnChol,north-korea,40177
28,1,0,181,Hyokchol,north-korea,40177
26,2,0,181,Kwanghyok,north-korea,40177
21,0,0,176,SongHyok,north-korea,23
20,3,0,178,KwangSong,north-korea,360000
26,34,13,188,KwangRyong,north-korea,450
26,59,18,175,IlGwan,north-korea,270
24,3,1,181,YongIl,north-korea,40177
